#,Question,Options,Answer,Prompt
1,Economics is a science which deals with _________.,"a. matters and substance
b. chemicals and reactions
c. human wants and resources
d. numbers and combinations",C,"###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Economics is a science which deals with _________.a. matters and substance
b. chemicals and reactions
c. human wants and resources
d. numbers and combinations

###Response
Answer: C"
2,Microeconomics deals with the study of __________ economic entities.,"a. Aggregate
b. Individual
c. Macro
d. Socio",B,"###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Microeconomics deals with the study of __________ economic entities.a. Aggregate
b. Individual
c. Macro
d. Socio

###Response
Answer: B"
3,Macroeconomics deals with _________ economic entities.,"a. Aggregate
b. Individual
c. Micro
d. Socio",A,"###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Macroeconomics deals with _________ economic entities.a. Aggregate
b. Individual
c. Micro
d. Socio

###Response
Answer: A"
4,_________ is an example of Microeconomic theory.,"a. Theory of Consumption
b. Theory of Economic Growth
c. Theory of Money
d. Theory of Income, Employment and Output",A,"###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: _________ is an example of Microeconomic theory.a. Theory of Consumption
b. Theory of Economic Growth
c. Theory of Money
d. Theory of Income, Employment and Output

###Response
Answer: A"
5,___________ is an example of Macroeconomic theory.,"a. Theory of Production
b. Theory of Rent
c. General Theory
d. Theory of Profit",C,"###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: ___________ is an example of Macroeconomic theory.a. Theory of Production
b. Theory of Rent
c. General Theory
d. Theory of Profit

###Response
Answer: C"
6,Opportunity costs are ________ measured in monetary terms.,"a. Always
b. Can be
c. Not
d. Never",B,"###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Opportunity costs are ________ measured in monetary terms.a. Always
b. Can be
c. Not
d. Never

###Response
Answer: B"
7,An exogenous variable exists ______ the economic model.,"a. Within
b. Outside
c. Inside
d. In none of",B,"###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: An exogenous variable exists ______ the economic model.a. Within
b. Outside
c. Inside
d. In none of

###Response
Answer: B"
8,________ express functional relationship between two or more variables.,"a. Functions
b. Combinations
c. Programs
d. Limits",A,"###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: ________ express functional relationship between two or more variables.a. Functions
b. Combinations
c. Programs
d. Limits

###Response
Answer: A"
9,Slope of straight line is _________ at all points.,"a. Different
b. Rising
c. Falling
d. Same",D,"###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Slope of straight line is _________ at all points.a. Different
b. Rising
c. Falling
d. Same

###Response
Answer: D"
10,Graph is a _________ tool used to show the relationship between the variables.,"a. Physical
b. Economic
c. Social
d. Geometrical",D,"###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Graph is a _________ tool used to show the relationship between the variables.a. Physical
b. Economic
c. Social
d. Geometrical

###Response
Answer: D"
11,_________ shows the rate at which a variable changes.,"a. Slope
b. Equation
c. Function
d. Data",A,"###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: _________ shows the rate at which a variable changes.a. Slope
b. Equation
c. Function
d. Data

###Response
Answer: A"
12,Positive Economics is based on ________ _.,"a. Value judgement
b. Ethics
c. Facts
d. Public opinion",C,"###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Positive Economics is based on ________ _.a. Value judgement
b. Ethics
c. Facts
d. Public opinion

###Response
Answer: C"
13,Normative Economics is based on __________.,"a. Moral values
b. Facts
c. Numbers
d. Diagrams",A,"###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Normative Economics is based on __________.a. Moral values
b. Facts
c. Numbers
d. Diagrams

###Response
Answer: A"
