#,Question,Options,Answer,Prompt_dif,Prompt ,Response,
1,Economics is a science which deals with _________.,"a. matters and substance
b. chemicals and reactions
c. human wants and resources
d. numbers and combinations",C,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Economics is a science which deals with _________.

Answer: a. matters and substance
b. chemicals and reactions
c. human wants and resources
d. numbers and combinations

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Economics is a science which deals with _________.a. matters and substance
b. chemicals and reactions
c. human wants and resources
d. numbers and combinations

###Response
Answer: C","Economics is the social science that studies how individuals, businesses, governments, and societies allocate resources to satisfy their unlimited wants and needs. It examines the production, distribution, and consumption of goods and services within an economy. This involves understanding human behavior and decision-making in relation to the scarce nature of resources, making option C, ""human wants and resources"", the correct answer.","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: 1Economics is a science which deals with _________.

###Response
Answer: a. matters and substance
b. chemicals and reactions
c. human wants and resources
d. numbers and combinations"
2,Microeconomics deals with the study of __________ economic entities.,"a. Aggregate
b. Individual
c. Macro
d. Socio",B,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Microeconomics deals with the study of __________ economic entities.

Answer: a. Aggregate
b. Individual
c. Macro
d. Socio

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Microeconomics deals with the study of __________ economic entities.a. Aggregate
b. Individual
c. Macro
d. Socio

###Response
Answer: B","Microeconomics is a branch of economics that focuses on the behavior and decision-making of individual economic units, such as households, firms, and markets, within a specific time period and geographical area. It examines how these micro-economic entities interact with each other to allocate resources efficiently in response to market forces.",
3,Macroeconomics deals with _________ economic entities.,"a. Aggregate
b. Individual
c. Micro
d. Socio",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Macroeconomics deals with _________ economic entities.

Answer: a. Aggregate
b. Individual
c. Micro
d. Socio

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Macroeconomics deals with _________ economic entities.a. Aggregate
b. Individual
c. Micro
d. Socio

###Response
Answer: A","In macroeconomics, a branch of economics that studies the behavior and performance of an economy as a whole, rather than individual markets or firms. Macroeconomics typically deals with aggregate variables such as GDP, inflation, unemployment, and interest rates, which represent broad economic indicators rather than specific entities like individuals, firms, or households.",
4,_________ is an example of Microeconomic theory.,"a. Theory of Consumption
b. Theory of Economic Growth
c. Theory of Money
d. Theory of Income, Employment and Output",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: _________ is an example of Microeconomic theory.

Answer: a. Theory of Consumption
b. Theory of Economic Growth
c. Theory of Money
d. Theory of Income, Employment and Output

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: _________ is an example of Microeconomic theory.a. Theory of Consumption
b. Theory of Economic Growth
c. Theory of Money
d. Theory of Income, Employment and Output

###Response
Answer: A","Microeconomic theory focuses on the behavior and decision-making of individual economic units, such as households and firms, within a larger economy. It examines how these units allocate resources, make choices, and respond to changes in market conditions. The Theory of Consumption, specifically, is a fundamental concept within microeconomics that explains how individuals choose what goods and services to consume given their income and preferences.",
5,___________ is an example of Macroeconomic theory.,"a. Theory of Production
b. Theory of Rent
c. General Theory
d. Theory of Profit",C,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: ___________ is an example of Macroeconomic theory.

Answer: a. Theory of Production
b. Theory of Rent
c. General Theory
d. Theory of Profit

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: ___________ is an example of Macroeconomic theory.a. Theory of Production
b. Theory of Rent
c. General Theory
d. Theory of Profit

###Response
Answer: C","In macroeconomics, the General Theory, developed by John Maynard Keynes in the 1930s, is a fundamental framework for understanding aggregate economic behavior and policy. It focuses on the overall performance of an economy, including issues such as inflation, unemployment, and economic growth, and provides a comprehensive approach to addressing macroeconomic problems.",
6,Opportunity costs are ________ measured in monetary terms.,"a. Always
b. Can be
c. Not
d. Never",B,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Opportunity costs are ________ measured in monetary terms.

Answer: a. Always
b. Can be
c. Not
d. Never

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Opportunity costs are ________ measured in monetary terms.a. Always
b. Can be
c. Not
d. Never

###Response
Answer: B","Opportunity cost refers to the value of the next best alternative that is given up when a choice is made. It is a concept used in economics and decision-making, where an individual must choose between two or more options, resulting in one option being foregone. Opportunity costs can be measured in monetary terms, as they represent the value of what could have been gained if the chosen option had not been taken.",
7,An exogenous variable exists ______ the economic model.,"a. Within
b. Outside
c. Inside
d. In none of",B,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: An exogenous variable exists ______ the economic model.

Answer: a. Within
b. Outside
c. Inside
d. In none of

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: An exogenous variable exists ______ the economic model.a. Within
b. Outside
c. Inside
d. In none of

###Response
Answer: B","An exogenous variable is a factor outside the control of the system being modeled or analyzed. It can be influenced by the system, but its value is determined independently of the system's behavior. In economic models, an exogenous variable represents events, forces, or factors that are not part of the internal dynamics of the economy, such as changes in government policies, technological advancements, or international trade agreements.",
8,________ express functional relationship between two or more variables.,"a. Functions
b. Combinations
c. Programs
d. Limits",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: ________ express functional relationship between two or more variables.

Answer: a. Functions
b. Combinations
c. Programs
d. Limits

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: ________ express functional relationship between two or more variables.a. Functions
b. Combinations
c. Programs
d. Limits

###Response
Answer: A","The correct answer is a function, which expresses a specific relationship between two or more variables. In mathematics and computer science, a function is a relation between a set of inputs (called the domain) and a set of possible outputs (called the range). It assigns to each input exactly one output, making it useful for modeling and analyzing complex relationships between variables.",
9,Slope of straight line is _________ at all points.,"a. Different
b. Rising
c. Falling
d. Same",D,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Slope of straight line is _________ at all points.

Answer: a. Different
b. Rising
c. Falling
d. Same

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Slope of straight line is _________ at all points.a. Different
b. Rising
c. Falling
d. Same

###Response
Answer: D","The slope of a straight line is a measure of how steep it is and can be calculated as the ratio of vertical change (rise) to horizontal change (run). A key property of a straight line is that its slope remains constant at all points, meaning it does not change or vary along its length. This is because a straight line is defined by two distinct points, and the slope between any two points on the line will be the same, indicating a consistent rate of rise over run.",
10,Graph is a _________ tool used to show the relationship between the variables.,"a. Physical
b. Economic
c. Social
d. Geometrical",D,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Graph is a _________ tool used to show the relationship between the variables.

Answer: a. Physical
b. Economic
c. Social
d. Geometrical

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Graph is a _________ tool used to show the relationship between the variables.a. Physical
b. Economic
c. Social
d. Geometrical

###Response
Answer: D","A graph is a visual representation of data, which can be classified as a geometrical tool. It uses geometric shapes and patterns to display information such as trends, relationships, or correlations between variables, making it easier to interpret and understand complex data. In this context, the correct answer is d. Geometrical.",
11,_________ shows the rate at which a variable changes.,"a. Slope
b. Equation
c. Function
d. Data",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: _________ shows the rate at which a variable changes.

Answer: a. Slope
b. Equation
c. Function
d. Data

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: _________ shows the rate at which a variable changes.a. Slope
b. Equation
c. Function
d. Data

###Response
Answer: A","The correct background knowledge for answering this question is that ""Slope"" is a measure of how steep or flat a line is, indicating the rate of change between two variables. It is often represented by the letter ""m"" in the slope-intercept form of a linear equation (y = mx + b), and is calculated as the ratio of the vertical change (rise) to the horizontal change (run). This concept is fundamental to understanding the relationship between variables, making it essential for identifying the correct answer, which is option A: Slope.",
12,Positive Economics is based on ________ _.,"a. Value judgement
b. Ethics
c. Facts
d. Public opinion",C,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Positive Economics is based on ________ _.

Answer: a. Value judgement
b. Ethics
c. Facts
d. Public opinion

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Positive Economics is based on ________ _.a. Value judgement
b. Ethics
c. Facts
d. Public opinion

###Response
Answer: C","In economics, positive analysis refers to the examination of economic phenomena and facts without making value judgments or taking ethical stances. It seeks to understand how things are, rather than what ought to be. Positive economics focuses on empirical data, market trends, and observable patterns to inform decision-making and policy development, rather than being influenced by personal opinions or moral values.",
13,Normative Economics is based on __________.,"a. Moral values
b. Facts
c. Numbers
d. Diagrams",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Normative Economics is based on __________.

Answer: a. Moral values
b. Facts
c. Numbers
d. Diagrams

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Normative Economics is based on __________.a. Moral values
b. Facts
c. Numbers
d. Diagrams

###Response
Answer: A","In normative economics, individuals make value judgments about what actions are right or wrong, good or bad, and desirable or undesirable. This branch of economics focuses on prescribing how society should behave or making recommendations for optimal outcomes, rather than analyzing existing behavior or describing facts about the economy. Normative economics is based on moral values, which guide decision-making and shape individual preferences and attitudes towards economic policies.",
14,Sociology is an example of ________ science.,"a. Positive
b. Pure
c. Normative
d. Hypothetical",C,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Sociology is an example of ________ science.

Answer: a. Positive
b. Pure
c. Normative
d. Hypothetical

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Sociology is an example of ________ science.a. Positive
b. Pure
c. Normative
d. Hypothetical

###Response
Answer: C","Sociology is a social science that studies human behavior, social structures, and institutions within societies. It aims to understand the complexities of social relationships, social change, and social inequality. Sociology draws on concepts from other disciplines such as psychology, anthropology, and economics to analyze social phenomena. Given this background, sociology can be classified as a normative science because it not only seeks to describe and explain social reality but also provides guidance on how societies should function, norms that individuals and groups should follow, and values that guide social behavior.",
15,Physics is an example of __________ science.,"a. Positive
b. Normative
c. Fiscal
d. Monetary",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Physics is an example of __________ science.

Answer: a. Positive
b. Normative
c. Fiscal
d. Monetary

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Physics is an example of __________ science.a. Positive
b. Normative
c. Fiscal
d. Monetary

###Response
Answer: A","Here's a brief background knowledge paragraph that explains why physics can be considered a positive science:

In the philosophy of science, sciences are often categorized into different types based on their goals and approaches. The distinction between positive and normative sciences is one such classification. Positive sciences aim to describe or predict the natural world as it exists, using empirical evidence and observation. In contrast, normative sciences focus on prescribing rules or norms for human behavior, rather than describing the natural world. Physics, being a natural science that seeks to understand the fundamental laws and principles governing the physical universe through experimentation and observation, can be considered a positive science. This classification aligns with the scientific method's emphasis on empirical evidence and testability, which are key characteristics of positive sciences.",
