Question ,Answer ,Type,Difficulty ,Topic,Level,Prompt_dif,Prompt_context
"If there were no scarcity, economics would still give valuable insights.",FALSE,,,Introduction,,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for true/false question in the input which has either 'true' or 'false' value as the answer. The answer is also provided in the input which can be only be 'true' or 'false'. Response should be limited to 'easy','medium', or 'difficult and no reasoning or explaination should be provided.

###Input
Question: If there were no scarcity, economics would still give valuable insights.

Answer: FALSE

###Response
","###Instruction: 
Write a concise paragraph summarizing the background knowledge necessary to understand the true/false statement given in the input. The input includes a statement and its corresponding answer, which will always be either 'true' or 'false.' Do not reference the question directly or hint at the answer to the question.

###Input
Question: If there were no scarcity, economics would still give valuable insights.

Answer: FALSE

###Response
"
"When economists say, ""There is no such thing as a free lunch,"" they mean that all economic decisions involve trade-offs.",TRUE,,,Introduction,,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for true/false question in the input which has either 'true' or 'false' value as the answer. The answer is also provided in the input which can be only be 'true' or 'false'. Response should be limited to 'easy','medium', or 'difficult and no reasoning or explaination should be provided.

###Input
Question: When economists say, ""There is no such thing as a free lunch,"" they mean that all economic decisions involve trade-offs.

Answer: TRUE

###Response
","###Instruction: 
Write a concise paragraph summarizing the background knowledge necessary to understand the true/false statement given in the input. The input includes a statement and its corresponding answer, which will always be either 'true' or 'false.' Do not reference the question directly or hint at the answer to the question.

###Input
Question: When economists say, ""There is no such thing as a free lunch,"" they mean that all economic decisions involve trade-offs.

Answer: TRUE

###Response
"
"The expected value of a variable is the sum of all possible values which this variable can take, weighted with the probability that the variable takes each value.",TRUE,,,Introduction,,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for true/false question in the input which has either 'true' or 'false' value as the answer. The answer is also provided in the input which can be only be 'true' or 'false'. Response should be limited to 'easy','medium', or 'difficult and no reasoning or explaination should be provided.

###Input
Question: The expected value of a variable is the sum of all possible values which this variable can take, weighted with the probability that the variable takes each value.

Answer: TRUE

###Response
","###Instruction: 
Write a concise paragraph summarizing the background knowledge necessary to understand the true/false statement given in the input. The input includes a statement and its corresponding answer, which will always be either 'true' or 'false.' Do not reference the question directly or hint at the answer to the question.

###Input
Question: The expected value of a variable is the sum of all possible values which this variable can take, weighted with the probability that the variable takes each value.

Answer: TRUE

###Response
"
Rational people act only when the marginal benefit of the action exceeds the marginal cost.,TRUE,,,Introduction,,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for true/false question in the input which has either 'true' or 'false' value as the answer. The answer is also provided in the input which can be only be 'true' or 'false'. Response should be limited to 'easy','medium', or 'difficult and no reasoning or explaination should be provided.

###Input
Question: Rational people act only when the marginal benefit of the action exceeds the marginal cost.

Answer: TRUE

###Response
","###Instruction: 
Write a concise paragraph summarizing the background knowledge necessary to understand the true/false statement given in the input. The input includes a statement and its corresponding answer, which will always be either 'true' or 'false.' Do not reference the question directly or hint at the answer to the question.

###Input
Question: Rational people act only when the marginal benefit of the action exceeds the marginal cost.

Answer: TRUE

###Response
"
"If the opportunity cost of going to prison for a person falls, this person is less likely to commit a criminal act.",FALSE,,,Introduction,,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for true/false question in the input which has either 'true' or 'false' value as the answer. The answer is also provided in the input which can be only be 'true' or 'false'. Response should be limited to 'easy','medium', or 'difficult and no reasoning or explaination should be provided.

###Input
Question: If the opportunity cost of going to prison for a person falls, this person is less likely to commit a criminal act.

Answer: FALSE

###Response
","###Instruction: 
Write a concise paragraph summarizing the background knowledge necessary to understand the true/false statement given in the input. The input includes a statement and its corresponding answer, which will always be either 'true' or 'false.' Do not reference the question directly or hint at the answer to the question.

###Input
Question: If the opportunity cost of going to prison for a person falls, this person is less likely to commit a criminal act.

Answer: FALSE

###Response
"
"When there are more policemen on the ground, the probability of getting caught when committing a crime increases, hence the expected cost of committing a crime increases as well.",TRUE,,,Introduction,,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for true/false question in the input which has either 'true' or 'false' value as the answer. The answer is also provided in the input which can be only be 'true' or 'false'. Response should be limited to 'easy','medium', or 'difficult and no reasoning or explaination should be provided.

###Input
Question: When there are more policemen on the ground, the probability of getting caught when committing a crime increases, hence the expected cost of committing a crime increases as well.

Answer: TRUE

###Response
","###Instruction: 
Write a concise paragraph summarizing the background knowledge necessary to understand the true/false statement given in the input. The input includes a statement and its corresponding answer, which will always be either 'true' or 'false.' Do not reference the question directly or hint at the answer to the question.

###Input
Question: When there are more policemen on the ground, the probability of getting caught when committing a crime increases, hence the expected cost of committing a crime increases as well.

Answer: TRUE

###Response
"
"Rioting can be explained as a ""tipping-point"" phenomenon.",TRUE,,,Introduction,,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for true/false question in the input which has either 'true' or 'false' value as the answer. The answer is also provided in the input which can be only be 'true' or 'false'. Response should be limited to 'easy','medium', or 'difficult and no reasoning or explaination should be provided.

###Input
Question: Rioting can be explained as a ""tipping-point"" phenomenon.

Answer: TRUE

###Response
","###Instruction: 
Write a concise paragraph summarizing the background knowledge necessary to understand the true/false statement given in the input. The input includes a statement and its corresponding answer, which will always be either 'true' or 'false.' Do not reference the question directly or hint at the answer to the question.

###Input
Question: Rioting can be explained as a ""tipping-point"" phenomenon.

Answer: TRUE

###Response
"
An unintended consequence of public support for higher education is that low tuition provides an incentive for many people to attend state universities even if they have no desire to learn anything.,TRUE,,,Introduction,,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for true/false question in the input which has either 'true' or 'false' value as the answer. The answer is also provided in the input which can be only be 'true' or 'false'. Response should be limited to 'easy','medium', or 'difficult and no reasoning or explaination should be provided.

###Input
Question: An unintended consequence of public support for higher education is that low tuition provides an incentive for many people to attend state universities even if they have no desire to learn anything.

Answer: TRUE

###Response
","###Instruction: 
Write a concise paragraph summarizing the background knowledge necessary to understand the true/false statement given in the input. The input includes a statement and its corresponding answer, which will always be either 'true' or 'false.' Do not reference the question directly or hint at the answer to the question.

###Input
Question: An unintended consequence of public support for higher education is that low tuition provides an incentive for many people to attend state universities even if they have no desire to learn anything.

Answer: TRUE

###Response
"
Sue is better at cleaning and Bob is better at cooking. It will take fewer hours to eat and clean if Bob specializes in cooking and Sue specializes in cleaning than if they share the household duties evenly.,TRUE,,,Introduction,,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for true/false question in the input which has either 'true' or 'false' value as the answer. The answer is also provided in the input which can be only be 'true' or 'false'. Response should be limited to 'easy','medium', or 'difficult and no reasoning or explaination should be provided.

###Input
Question: Sue is better at cleaning and Bob is better at cooking. It will take fewer hours to eat and clean if Bob specializes in cooking and Sue specializes in cleaning than if they share the household duties evenly.

Answer: TRUE

###Response
","###Instruction: 
Write a concise paragraph summarizing the background knowledge necessary to understand the true/false statement given in the input. The input includes a statement and its corresponding answer, which will always be either 'true' or 'false.' Do not reference the question directly or hint at the answer to the question.

###Input
Question: Sue is better at cleaning and Bob is better at cooking. It will take fewer hours to eat and clean if Bob specializes in cooking and Sue specializes in cleaning than if they share the household duties evenly.

Answer: TRUE

###Response
"
Scientists collect and analyze data to verify or refute their theories.,TRUE,,,Introduction,,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for true/false question in the input which has either 'true' or 'false' value as the answer. The answer is also provided in the input which can be only be 'true' or 'false'. Response should be limited to 'easy','medium', or 'difficult and no reasoning or explaination should be provided.

###Input
Question: Scientists collect and analyze data to verify or refute their theories.

Answer: TRUE

###Response
","###Instruction: 
Write a concise paragraph summarizing the background knowledge necessary to understand the true/false statement given in the input. The input includes a statement and its corresponding answer, which will always be either 'true' or 'false.' Do not reference the question directly or hint at the answer to the question.

###Input
Question: Scientists collect and analyze data to verify or refute their theories.

Answer: TRUE

###Response
"
